league,season,team,mp,w,d,l,gf,ga,gd,points_raw,deduction,points,position
ligue-1,2022-2023,Rennes,38,21,5,12,69,39,30,68,0,68,4
ligue-1,2022-2023,Lille,38,19,10,9,65,44,21,67,0,67,5
ligue-1,2022-2023,Monaco,38,19,8,11,70,58,12,65,0,65,6
ligue-1,2022-2023,Lyon,38,18,8,12,65,47,18,62,0,62,7
ligue-1,2022-2023,Clermont,38,17,8,13,45,49,-4,59,0,59,8
ligue-1,2022-2023,Nice,38,15,13,10,48,37,11,58,0,58,9
ligue-1,2022-2023,Lorient,38,15,10,13,52,53,-1,55,0,55,10
ligue-1,2022-2023,Reims,38,12,15,11,45,45,0,51,0,51,11
ligue-1,2022-2023,Montpellier,38,15,5,18,65,62,3,50,0,50,12
ligue-1,2022-2023,Toulouse,38,13,9,16,51,57,-6,48,0,48,13
ligue-1,2022-2023,Brest,38,11,11,16,44,54,-10,44,0,44,14
ligue-1,2022-2023,Strasbourg,38,9,13,16,51,59,-8,40,0,40,15
ligue-1,2022-2023,Nantes,38,7,15,16,37,55,-18,36,0,36,16
ligue-1,2022-2023,Auxerre,38,8,11,19,35,63,-28,35,0,35,17
ligue-1,2022-2023,Ajaccio,38,7,5,26,23,74,-51,26,0,26,18
ligue-1,2022-2023,Troyes,38,4,12,22,45,81,-36,24,0,24,19
ligue-1,2022-2023,Angers,38,4,6,28,33,81,-48,18,0,18,20
ligue-1,2023-2024,Paris SG,34,22,10,2,81,33,48,76,0,76,1
ligue-1,2023-2024,Monaco,34,20,7,7,68,42,26,67,0,67,2
ligue-1,2023-2024,Brest,34,17,10,7,53,34,19,61,0,61,3
ligue-1,2023-2024,Lille,34,16,11,7,52,34,18,59,0,59,4
ligue-1,2023-2024,Nice,34,15,10,9,40,29,11,55,0,55,5
ligue-1,2023-2024,Lyon,34,16,5,13,49,55,-6,53,0,53,6
ligue-1,2023-2024,Lens,34,14,9,11,45,37,8,51,0,51,7
ligue-1,2023-2024,Marseille,34,13,11,10,52,41,11,50,0,50,8
ligue-1,2023-2024,Reims,34,13,8,13,42,47,-5,47,0,47,9
ligue-1,2023-2024,Rennes,34,12,10,12,53,46,7,46,0,46,10
ligue-1,2023-2024,Toulouse,34,11,10,13,42,46,-4,43,0,43,11
ligue-1,2023-2024,Montpellier,34,10,12,12,43,48,-5,42,0,42,12
ligue-1,2023-2024,Strasbourg,34,10,9,15,38,50,-12,39,0,39,13
ligue-1,2023-2024,Nantes,34,9,6,19,30,55,-25,33,0,33,14
ligue-1,2023-2024,Le Havre,34,7,11,16,34,45,-11,32,0,32,15
ligue-1,2023-2024,Lorient,34,7,8,19,43,66,-23,29,0,29,16
ligue-1,2023-2024,Metz,34,8,5,21,35,58,-23,29,0,29,17
ligue-1,2023-2024,Clermont,34,5,10,19,26,60,-34,25,0,25,18
